iter	Passed	Remaining
887	1593	200
888	1593	198
889	1594	197
890	1595	195
891	1597	193
892	1598	191
893	1599	189
894	1600	187
895	1601	185
896	1602	183
897	1603	182
898	1604	180
899	1604	178
900	1605	176
901	1606	174
902	1606	172
903	1607	170
904	1608	168
905	1609	166
906	1611	165
907	1613	163
908	1614	161
909	1615	159
910	1616	157
911	1617	156
912	1618	154
913	1619	152
914	1620	150
915	1621	148
916	1622	146
917	1624	145
918	1625	143
919	1627	141
920	1628	139
921	1629	137
922	1630	136
923	1631	134
924	1632	132
925	1632	130
926	1633	128
927	1634	126
928	1635	125
929	1636	123
930	1637	121
931	1638	119
932	1638	117
933	1639	115
934	1643	114
935	1645	112
936	1645	110
937	1646	108
938	1647	107
939	1648	105
940	1649	103
941	1649	101
942	1650	99
943	1651	97
944	1651	96
945	1652	94
946	1653	92
947	1654	90
948	1655	88
949	1656	87
950	1658	85
951	1659	83
952	1660	81
953	1661	80
954	1662	78
955	1663	76
956	1663	74
957	1664	72
958	1665	71
959	1666	69
960	1667	67
961	1668	65
962	1669	64
963	1669	62
964	1671	60
965	1673	58
966	1675	57
967	1675	55
968	1676	53
969	1678	51
970	1679	50
971	1680	48
972	1680	46
973	1681	44
974	1682	43
975	1682	41
976	1683	39
977	1684	37
978	1686	36
979	1687	34
980	1688	32
981	1689	30
982	1690	29
983	1691	27
984	1692	25
985	1692	24
986	1693	22
987	1694	20
988	1694	18
989	1696	17
990	1697	15
991	1698	13
992	1699	11
993	1699	10
994	1703	8
995	1705	6
996	1706	5
997	1706	3
998	1707	1
999	1708	0
